tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,2009.0,1753.0,256.0,1209.0,800.0,1615.0,406.0,1604.0,1484.0,120.0,407.0,79.0,2068.0,700.0,1368.0,0.0,9.918691554426866,2.4106055870476797,5.151976670868965,4.96412092743186
2.0,2019.0,1638.0,381.0,1210.0,809.0,1627.0,417.0,1605.0,1485.0,120.0,522.0,85.0,2073.0,1032.0,1041.0,10.0,9.922482013520476,2.4314743417122235,4.4264879777471995,4.934245922502467
3.0,2037.0,1594.0,443.0,1209.0,828.0,1644.0,435.0,1607.0,1486.0,120.0,566.0,85.0,2022.0,1116.0,906.0,16.0,9.965715231218793,2.4532218843121596,3.809500277665486,4.903314923754284
4.0,2049.0,1538.0,511.0,1179.0,870.0,1657.0,478.0,1610.0,1488.0,120.0,622.0,78.0,2052.0,1178.0,874.0,19.0,9.997365450076979,2.471150184976711,3.2851527905827833,4.868072873028769
5.0,2063.0,1492.0,571.0,1174.0,889.0,1664.0,490.0,1612.0,1489.0,120.0,668.0,80.0,2014.0,1197.0,817.0,19.0,10.012301174761939,2.4874959863855493,2.8411440473425085,4.833805130440128
6.0,2076.0,1474.0,602.0,1146.0,930.0,1677.0,531.0,1614.0,1490.0,120.0,686.0,79.0,2000.0,1202.0,798.0,17.0,10.051916876802354,2.500429463037233,2.4630173849990515,4.794379449500138
7.0,2089.0,1447.0,642.0,1128.0,961.0,1692.0,564.0,1612.0,1486.0,120.0,713.0,83.0,1990.0,1180.0,810.0,17.0,10.077730132534231,2.510813258390086,2.1410271290712477,4.766549804235973
8.0,2103.0,1458.0,645.0,1132.0,971.0,1705.0,573.0,1607.0,1481.0,120.0,702.0,80.0,1971.0,1204.0,767.0,19.0,10.116420720686005,2.5200856848735524,1.8668567510080663,4.733869819527402
9.0,2114.0,1454.0,660.0,1130.0,984.0,1718.0,588.0,1602.0,1476.0,120.0,706.0,84.0,1981.0,1206.0,775.0,15.0,10.156562387796262,2.5278092406700545,1.6344052241603222,4.700033651910619
10.0,2121.0,1468.0,653.0,1144.0,977.0,1735.0,591.0,1594.0,1467.0,120.0,692.0,84.0,1994.0,1207.0,787.0,18.0,10.184771597642428,2.535321171115674,1.4408434430828698,4.672660303266141
11.0,2129.0,1478.0,651.0,1156.0,973.0,1751.0,595.0,1590.0,1462.0,120.0,682.0,85.0,2015.0,1233.0,782.0,15.0,10.208041302822904,2.5423405269254373,1.3102571280150288,4.638810741991264
12.0,2144.0,1506.0,638.0,1160.0,984.0,1760.0,600.0,1588.0,1460.0,120.0,654.0,90.0,2031.0,1264.0,767.0,18.0,10.290115330788003,2.5470987508741216,1.2485037075597112,4.617400051635096
13.0,2152.0,1497.0,655.0,1169.0,983.0,1770.0,601.0,1589.0,1460.0,120.0,663.0,89.0,2051.0,1307.0,744.0,15.0,10.358233793424166,2.551678184971642,1.2416813991444196,4.583160067156693
14.0,2165.0,1503.0,662.0,1191.0,974.0,1787.0,596.0,1582.0,1452.0,120.0,657.0,90.0,2049.0,1284.0,765.0,15.0,10.408131464436929,2.559249667930929,1.2413789092555836,4.55939531111562
15.0,2177.0,1539.0,638.0,1200.0,977.0,1798.0,598.0,1580.0,1449.0,120.0,621.0,85.0,2071.0,1316.0,755.0,17.0,10.462473598794862,2.565555296430215,1.2413815948091744,4.531723037648266
16.0,2189.0,1464.0,725.0,1217.0,972.0,1809.0,592.0,1579.0,1447.0,120.0,696.0,91.0,2105.0,1371.0,734.0,19.0,10.496856831470637,2.5716204823865074,1.2403851115191744,4.498115157235417
17.0,2197.0,1488.0,709.0,1214.0,983.0,1819.0,605.0,1576.0,1444.0,120.0,672.0,92.0,2036.0,1315.0,721.0,17.0,10.56798971665418,2.575862187475959,1.2391885317131486,4.47970020366009
18.0,2209.0,1512.0,697.0,1207.0,1002.0,1835.0,628.0,1571.0,1439.0,120.0,648.0,89.0,2069.0,1356.0,713.0,19.0,10.605773690923531,2.578035218616185,1.2384065996900775,4.446262918607985
19.0,2217.0,1540.0,677.0,1226.0,991.0,1847.0,621.0,1572.0,1438.0,120.0,620.0,91.0,2105.0,1400.0,705.0,16.0,10.679031767823947,2.5790734296326683,1.23801407949887,4.41568595686509
20.0,2227.0,1543.0,684.0,1239.0,988.0,1861.0,622.0,1567.0,1433.0,120.0,617.0,89.0,2144.0,1441.0,703.0,18.0,10.72408040494154,2.580247462311346,1.235838801150599,4.395063585447488
21.0,2241.0,1557.0,684.0,1250.0,991.0,1879.0,629.0,1560.0,1425.0,120.0,603.0,84.0,2154.0,1485.0,669.0,15.0,10.799760216710203,2.5820359041826317,1.2341792267591307,4.384777655303896
22.0,2251.0,1559.0,692.0,1251.0,1000.0,1902.0,651.0,1555.0,1418.0,120.0,601.0,81.0,2181.0,1502.0,679.0,20.0,10.833009538677283,2.5821879168491377,1.2373953273738634,4.364078733934426
23.0,2258.0,1571.0,687.0,1268.0,990.0,1918.0,650.0,1553.0,1415.0,120.0,589.0,83.0,2198.0,1507.0,691.0,15.0,10.878556830816406,2.5824004756817316,1.2353669023757916,4.351185307121977
24.0,2273.0,1550.0,723.0,1263.0,1010.0,1933.0,670.0,1551.0,1413.0,120.0,610.0,83.0,2218.0,1523.0,695.0,22.0,10.907169976747598,2.580698718172073,1.2327749230701854,4.329659043456839
25.0,2283.0,1571.0,712.0,1286.0,997.0,1944.0,658.0,1551.0,1413.0,120.0,589.0,81.0,2197.0,1498.0,699.0,20.0,10.967318091567728,2.5809117050411006,1.2305852153985484,4.294520414910257
26.0,2299.0,1606.0,693.0,1306.0,993.0,1956.0,650.0,1547.0,1409.0,120.0,554.0,82.0,2219.0,1557.0,662.0,24.0,11.014426204753713,2.5811181906679037,1.2285498997947146,4.268155244707478
27.0,2309.0,1608.0,701.0,1310.0,999.0,1965.0,655.0,1550.0,1410.0,120.0,552.0,79.0,2245.0,1581.0,664.0,25.0,11.071637648368734,2.580065589969465,1.2310998189583737,4.244788818357342
28.0,2328.0,1574.0,754.0,1333.0,995.0,1974.0,641.0,1550.0,1410.0,120.0,586.0,85.0,2252.0,1610.0,642.0,20.0,11.132946149819452,2.581059115444209,1.229351022999004,4.218388900038347
29.0,2337.0,1582.0,755.0,1338.0,999.0,1992.0,654.0,1544.0,1403.0,120.0,578.0,81.0,2228.0,1593.0,635.0,25.0,11.181031974434681,2.5820049536542173,1.2283031156689392,4.20284672295575
30.0,2343.0,1589.0,754.0,1361.0,982.0,2006.0,645.0,1539.0,1398.0,120.0,571.0,81.0,2221.0,1618.0,603.0,32.0,11.22967818584729,2.5841589663898765,1.226862440361009,4.18870621845671
